,equivalence_class,Occurrence,Word count,total_docs
770,rice,1,1,1
771,rice bran oil,1,3,1
772,right temperature,1,2,1
773,rinse,2,1,1
774,rise,5,3,3
775,roast,2,2,2
776,roast potatoes,1,2,1
777,roasted foods,1,2,1
778,roasting,7,5,5
779,roasting environment,1,2,1
780,roasting temperature,1,2,1
781,roasts,2,2,2
782,roman times,1,2,1
783,room radiator,1,2,1
784,rosemary,1,1,1
785,round ones,1,2,1
786,roux,2,1,1
787,rub,1,1,1
788,rubber ring seal,1,3,1
789,rubber seal,1,2,1
790,rule,2,2,2
791,safety,3,5,3
792,safety chip pans,1,3,1
793,salad,1,1,1
794,salt,9,5,5
795,samosas dough,1,2,1
796,sampling,1,1,1
797,sandwich cooking device,1,3,1
798,sanitation,1,1,1
799,saris,1,1,1
800,sauce,11,6,6
801,sauce whisking,1,2,1
802,saucepan,1,1,1
803,sauces,1,2,1
804,saute,14,13,10
805,saute ,1,1,1
806,scalding,1,1,1
807,scallops,1,1,1
808,scoop,3,3,3
809,scorch,1,1,1
810,scorched milk,1,2,1
811,scrape,1,1,1
812,scrubbing,1,1,1
813,scum,1,1,1
814,sea level,1,2,1
815,seafood,2,2,2
816,seal,1,1,1
817,sealing,2,1,1
818,sealing food,1,2,1
819,seasoning,1,1,1
820,seasoning flavor,1,2,1
821,seaweed — sharp,1,3,1
822,seconds,1,1,1
823,sectioned steaks,1,2,1
824,self basting process,1,3,1
825,sense,1,1,1
826,service,1,1,1
827,sesame,1,1,1
828,sewers problems,1,2,1
829,shallots,1,1,1
830,shape,2,2,2
831,shelf life,1,2,1
832,shell,2,1,1
833,shelving,1,1,1
834,shirring,1,1,1
835,shirt,1,1,1
836,shirts,1,1,1
837,shrimp,2,1,1
838,side,3,3,3
839,sides,3,2,2
840,simmering,1,1,1
841,simulation,1,1,1
842,situations,1,1,1
843,size,3,2,2
844,skillet,1,1,1
845,skin,5,3,3
846,skins,2,2,2
847,slice,1,1,1
848,slices,1,1,1
849,slope-sided pan,1,2,1
850,smell,1,1,1
851,smoke point,4,2,1
852,smokey fire,1,2,1
853,smoking,51,22,13
854,smoking point,1,2,1
855,soaps,1,1,1
856,solids,2,1,1
857,solution,1,1,1
858,something,2,2,2
859,soogy foods,1,2,1
860,sort,1,1,1
861,sound,1,1,1
862,soup,1,1,1
863,source,1,1,1
864,sous-vide,4,5,3
865,soy sauce,1,2,1
866,space,1,1,1
867,spatters,1,1,1
868,speed,1,1,1
869,spices,5,4,4
870,spider,1,1,1
871,spirits,1,1,1
872,spit-roasting,1,1,1
873,splash,1,1,1
874,splatter ,2,2,2
875,spoon,5,4,4
876,spots,1,1,1
877,spring,1,1,1
878,square bumps,1,2,1
879,squid,1,1,1
880,stacks,1,1,1
881,stage,3,3,3
882,starch,2,2,2
883,steak,2,1,1
884,steak condition,1,2,1
885,steaks,3,2,2
886,steam,13,9,9
887,steam pressure,1,2,1
888,steamer,3,2,2
889,steel,2,1,1
890,steel container,1,2,1
891,step,5,3,3
892,stew,4,1,1
893,stewing,4,2,2
894,stewing meats,1,2,1
895,stewing vessel,1,2,1
896,stews,1,1,1
897,stir-fried,2,2,2
898,stir-frying,6,3,3
899,stir-frying sautéing,1,2,1
900,stock,7,5,4
901,stopper,1,1,1
902,storage,6,8,6
903,stove,2,2,2
904,streamers,1,1,1
905,style barbecue,1,2,1
906,substances,3,2,2
907,such,1,1,1
908,suckers,1,1,1
909,sugar,7,7,5
910,suggestions,2,2,2
911,summer,1,1,1
912,sun,2,1,1
913,sunlight,1,1,1
914,surface,16,5,5
915,surface evaporation,1,2,1
916,surfaces,1,1,1
917,suspension,1,1,1
918,sweetbread,1,1,1
919,sweeteners,1,1,1
920,system,1,1,1
921,table,1,1,1
922,tadka,1,1,1
923,tadka dhal,1,2,1
924,tannic,1,1,1
925,task,1,1,1
926,taste,4,4,4
927,tea,1,1,1
928,tea bag,1,2,1
929,tea strainer,1,2,1
930,technique,24,10,10
931,temperature,57,33,29
932,tempura,2,1,1
933,tendency,2,2,2
934,tender,8,8,6
935,term,6,5,5
936,texture,3,3,3
937,thaw,1,1,1
938,thermometer,5,5,5
939,thickness,3,2,2
940,thing,1,1,1
941,threat,2,1,1
942,thumb,1,1,1
943,tight-fitting,1,1,1
944,time,20,13,13
945,timing,2,3,2
946,tip,1,1,1
947,tips,6,6,5
948,tissue,1,1,1
949,tissues,1,1,1
950,toast,1,1,1
951,tomatoes,3,3,3
952,tongs,1,1,1
953,tool,4,4,4
954,tortilla chips,1,2,1
955,touch,2,2,2
956,tough cuts,1,2,1
957,tough vegetables,1,2,1
958,trade,1,1,1
959,transfer heat,1,2,1
960,tray,1,1,1
961,tree,1,1,1
962,trivet,1,1,1
963,trust,1,1,1
964,turkey,3,1,1
965,turkey fryer,1,2,1
966,turnips,1,1,1
967,twinkies,1,1,1
968,type,2,2,2
969,types,4,4,4
970,uk,1,1,1
971,un-rested meat,1,2,1
972,uncooked side,1,2,1
973,under-cooked,1,1,1
974,unglazed clay pot,2,3,1
975,unit,1,1,1
976,united states,2,4,2
977,use,40,13,13
978,use cornmeal,1,2,1
979,use steel,1,2,1
980,use utensils,1,2,1
981,use water,1,2,1
982,usefulness,1,1,1
983,utensil,1,1,1
984,utilize draft control,1,3,1
985,vaccum,1,1,1
986,vaccum sealing,1,2,1
987,value,2,2,2
988,vaporizes,1,1,1
989,variation,4,6,4
990,variety,2,2,2
991,veal escalopes,1,2,1
992,vegetable,23,14,14
993,vegetables,1,2,1
994,veloute sauce,1,2,1
995,versions,1,1,1
996,vessel,7,4,4
997,vin eggplant,1,2,1
998,vinegar,1,1,1
999,waffle iron,1,2,1
1000,walls,2,2,2
1001,warning,3,5,3
1002,wash,1,1,1
1003,wastes fuel,1,2,1
1004,watch,1,1,1
1005,water,63,14,14
1006,water bath,3,2,1
1007,water briefly,1,2,1
1008,water container,1,2,1
1009,water heater,1,2,1
1010,water hisses,1,2,1
1011,water oven,2,2,1
1012,water treatment plants,1,3,1
1013,way,11,9,9
1014,weather,1,1,1
1015,web sites,1,2,1
1016,wedge,1,1,1
1017,week,2,2,2
1018,whey separation,1,2,1
1019,whisk,1,1,1
1020,wine,6,7,6
1021,winter,1,1,1
1022,wire,2,3,2
1023,wok,8,1,1
1024,wood,9,4,3
1025,word,1,1,1
1026,work,4,3,3
1027,world,1,1,1
1028,yogurt,5,6,4
